,symbol,date,open,high,low,close,volume,adjusted
228,TSLA,11/28/2023,236.6799927,247,234.0099945,246.7200012,148549900,246.7200012
229,TSLA,11/29/2023,249.2100067,252.75,242.7599945,244.1399994,135401300,244.1399994
230,TSLA,11/30/2023,245.1399994,245.2200012,236.9100037,240.0800018,132353200,240.0800018
231,TSLA,12/1/2023,233.1399994,240.1900024,231.8999939,238.8300018,121173500,238.8300018
232,TSLA,12/4/2023,235.75,239.3699951,233.2899933,235.5800018,104099800,235.5800018
233,TSLA,12/5/2023,233.8699951,246.6600037,233.6999969,238.7200012,137971100,238.7200012
234,TSLA,12/6/2023,242.9199982,246.5700073,239.1699982,239.3699951,126436200,239.3699951
235,TSLA,12/7/2023,241.5500031,244.0800018,236.9799957,242.6399994,107142300,242.6399994
236,TSLA,12/8/2023,240.2700043,245.2700043,239.2700043,243.8399963,102980100,243.8399963
237,TSLA,12/11/2023,242.7400055,243.4400024,237.4499969,239.7400055,97913900,239.7400055
238,TSLA,12/12/2023,238.5500031,238.9900055,233.8699951,237.0099945,95328300,237.0099945
239,TSLA,12/13/2023,234.1900024,240.3000031,228.1999969,239.2899933,146286300,239.2899933
240,TSLA,12/14/2023,241.2200012,253.8800049,240.7899933,251.0500031,160829200,251.0500031
241,TSLA,12/15/2023,251.2100067,254.1300049,248.3000031,253.5,135720800,253.5
242,TSLA,12/18/2023,253.7799988,258.7399902,251.3600006,252.0800018,116416500,252.0800018
243,TSLA,12/19/2023,253.4799957,258.3399963,253.0099945,257.2200012,106737400,257.2200012
244,TSLA,12/20/2023,256.4100037,259.8399963,247,247.1399994,125097000,247.1399994
245,TSLA,12/21/2023,251.8999939,254.8000031,248.5500031,254.5,109594200,254.5
246,TSLA,12/22/2023,256.7600098,258.2200012,251.3699951,252.5399933,93249800,252.5399933
247,TSLA,12/26/2023,254.4900055,257.9700012,252.9100037,256.6099854,86892400,256.6099854
248,TSLA,12/27/2023,258.3500061,263.3399963,257.519989,261.4400024,106494400,261.4400024
249,TSLA,12/28/2023,263.6600037,265.1300049,252.7100067,253.1799927,113619900,253.1799927
250,TSLA,12/29/2023,255.1000061,255.1900024,247.4299927,248.4799957,100615300,248.4799957
251,TSLA,1/2/2024,250.0800018,251.25,244.4100037,248.4199982,104654200,248.4199982
252,TSLA,1/3/2024,244.9799957,245.6799927,236.3200073,238.4499969,121082600,238.4499969
253,TSLA,1/4/2024,239.25,242.6999969,237.7299957,237.9299927,102629300,237.9299927
254,TSLA,1/5/2024,236.8600006,240.1199951,234.8999939,237.4900055,92379400,237.4900055
255,TSLA,1/8/2024,236.1399994,241.25,235.3000031,240.4499969,85166600,240.4499969
256,TSLA,1/9/2024,238.1100006,238.9600067,232.0399933,234.9600067,96705700,234.9600067
257,TSLA,1/10/2024,235.1000061,235.5,231.2899933,233.9400024,91628500,233.9400024
258,TSLA,1/11/2024,230.5700073,230.9299927,225.3699951,227.2200012,105873600,227.2200012
259,TSLA,1/12/2024,220.0800018,225.3399963,217.1499939,218.8899994,122889000,218.8899994
260,TSLA,1/16/2024,215.1000061,223.4900055,212.1799927,219.9100037,115355000,219.9100037
261,TSLA,1/17/2024,214.8600006,215.6699982,212.0099945,215.5500031,103164400,215.5500031
262,TSLA,1/18/2024,216.8800049,217.4499969,208.7400055,211.8800049,108595400,211.8800049
263,TSLA,1/19/2024,209.9900055,213.1900024,207.5599976,212.1900024,102095800,212.1900024
264,TSLA,1/22/2024,212.2599945,217.8000031,206.2700043,208.8000031,117952500,208.8000031
265,TSLA,1/23/2024,211.3000031,215.6499939,207.75,209.1399994,106605900,209.1399994
